id_son,hhid,id_daughter,hgc,byear_dad,byear_mom,age_firstSurvey,useDad,survey,CASEID,byear,share_married,women,surv79,dad_age_inc1,mom_age_inc1,dad_age_inc,mom_age_inc,mom_age_at_birth,dad_age_at_birth,mom_outOfRange,dad_outOfRange,linkDad,linkMom,linkBoth,parent1,zero_parent1,ms_parent1,parent2,zero_parent2,ms_parent2,parent3,zero_parent3,ms_parent3,nparent,miss0,faminc0,lfaminc0,loginc66,loginc79,kid_age_parentInc,kid1,kid2,kid3,zero_kid1,ms_kid1,zero_kid2,ms_kid2,zero_kid3,ms_kid3,nkid,miss1,miss1_early,miss1_prime,faminc1,lfaminc1,faminc1_early,lfaminc1_early,faminc1_prime,lfaminc1_prime,up0,owninc,lown,miss1_own,miss_spouse,spouse_inc,spouse_age,weight,weight_incFirst,weight_incLast,weight_incAvg,all_parent,all_kid,married,n
,8636,,12,,,20,,1979,8636,1959,,1,1,51,48,52,49,29,32,0,0,1,1,1,,0,1,81628.96,0,0,92055.88,0,0,2,0,86842.42,11.37185,0,11.37185,20.5,,,,0,1,0,1,0,1,0,1,0,1,,,78606.78,11.27221,,,,,,1,0,,,1093,,,,0,0,,1
,11852,,,,,16,,1979,11853,1963,100,1,1,46,41,45.66667,42,26,31,0,0,1,1,1,,0,1,81628.96,0,0,86302.39,0,0,2,0,83965.67,11.33816,0,11.33816,16.5,,90161.14,,0,1,0,0,0,1,1,0,0,0,90161.14,11.40935,2573.477,7.853013,90161.14,11.40935,1,60000,11.0021,0,0,12880.16,42,4794,5971,5971,,0,0,100,1
,12494,,,,,19,,1979,12494,1960,,1,1,,34,,34,16,,0,1,0,1,0,26154.38,0,0,,0,1,,0,1,1,0,26154.38,10.17177,0,10.17177,18,,,,0,1,0,1,0,1,0,1,1,1,,,,,,,,,,1,0,,,783,,,,0,0,,1
,9526,,,,,18,,1979,9527,1961,,1,1,,51,,52,34,,1,1,0,0,0,38098.21,0,0,,0,1,,0,1,1,0,38098.21,10.54792,0,10.54792,17,,,,0,1,0,1,0,1,0,1,1,1,,,,,,,,,,1,0,,,836,,,,0,0,,1
,5854,,9,,,20,,1979,5855,1959,100,1,1,54,,55,,,35,1,0,1,0,0,,0,1,,0,1,,0,1,0,1,,,,,,,63444.66,43571.73,0,1,0,0,0,0,2,0,0,0,53508.19,10.88759,45145.57,10.71765,53508.19,10.88759,0,9580,9.167433,0,0,32485.12,44,802,1151,1169,,0,0,100,1
,3286,,17,,,22,,1979,3286,1957,100,1,1,53,48,54,49,27,32,0,0,1,1,1,,0,1,104485.1,0,0,,0,1,1,0,104485.1,11.5568,0,11.5568,22,226229.7,231842.9,279150.3,0,0,0,0,0,0,3,0,0,0,245741,12.41203,138581.6,11.83921,245741,12.41203,1,65333.33,11.08726,0,0,163167.8,46.66667,968,1230,1134,,0,1,100,1
,6973,,,,,22,,1979,6973,1957,,1,1,,,54,51,28,31,0,0,1,1,1,,0,1,,0,1,115069.9,0,0,1,0,115069.9,11.65329,0,11.65329,23,,,,0,1,0,1,0,1,0,1,1,1,,,,,,,,,,1,0,,,547,,,,0,0,,1
,8970,,14,,,19,,1979,8970,1960,0,1,1,,38,,39,20,,0,1,0,1,0,,0,1,21706.77,0,0,29857.75,0,0,2,0,25782.26,10.15744,0,10.15744,19.5,29450.02,32200.41,42479.4,0,0,0,0,0,0,3,0,0,0,34709.94,10.45478,12231.19,9.411745,34709.94,10.45478,1,26000,10.16585,0,0,,,1175,1497,1415,,0,1,0,1
,4994,,16,,,17,,1979,4995,1962,100,1,1,50,48,51,49,32,34,1,0,1,0,0,76283.61,0,0,114280.5,0,0,69041.91,0,0,3,0,86535.36,11.36831,0,11.36831,17,71215.5,,,0,0,0,1,0,1,1,0,0,0,71215.5,11.17347,176137.9,12.07902,71215.5,11.17347,0,50000,10.81978,0,0,937.046,43.66667,4612,5914,6689,,1,0,100,1
,11959,,13,,,22,,1979,11959,1957,,1,1,,,59,58,35,36,1,0,1,0,0,,0,1,,0,1,,0,1,0,1,,,,,,,,,0,1,0,1,0,1,0,1,0,1,,,129226.6,11.76932,,,,,,1,0,,,6761,,,,0,0,,1
,3367,,16,,,20,,1979,3369,1959,100,1,1,61,53,62,54,34,42,1,0,1,0,0,,0,1,,0,1,,0,1,0,1,,,,,,357264.8,411404,369546.5,0,0,0,0,0,0,3,0,0,0,379405.1,12.84636,136822.6,11.82644,379405.1,12.84636,0,0,,1,0,372999.7,44,5211,7549,8019,,0,1,100,1
,6742,,12,,,20,,1979,6742,1959,100,1,1,62,52,63,53,33,43,1,0,1,0,0,37676.84,0,0,19590.95,0,0,,0,1,2,0,28633.89,10.26235,0,10.26235,19.5,26505.02,884.8672,4326.83,0,0,0,0,0,0,3,0,0,0,10572.24,9.265986,29938.82,10.30691,10572.24,9.265986,0,0,,1,0,0,,964,1384,1406,,0,1,100,1
,1993,,12,,,21,,1979,1993,1958,0,1,1,,,,,,,1,1,0,0,0,,0,1,,0,1,,0,1,0,1,,,,,,109500.5,7728.098,15778.06,0,0,0,0,0,0,3,0,0,0,44335.56,10.69954,12879,9.463353,44335.56,10.69954,0,8600,9.059518,0,0,100397.8,,4944,6020,6450,,0,1,0,1
,3911,,15,,,21,,1979,3912,1958,100,1,1,51,53,52,54,33,31,1,0,1,0,0,,0,1,,0,1,,0,1,0,1,,,,,,84173.51,83746.82,121369.7,0,0,0,0,0,0,3,0,0,0,96430.02,11.47657,101015.8,11.52303,96430.02,11.47657,0,64626.67,11.07638,0,0,14346.88,57,6096,7423,7953,,0,1,100,1
,6661,,12,,,17,,1979,6662,1962,100,1,1,,34,,35,18,,0,1,0,1,0,29060.42,0,0,21628.41,0,0,,0,1,2,0,25344.42,10.14031,0,10.14031,16.5,89688.69,96601.23,84958.8,0,0,0,0,0,0,3,0,0,0,90416.23,11.41218,73347.77,11.20297,90416.23,11.41218,1,43666.67,10.68434,0,0,34595.83,47,702,890,882,,0,1,100,1
,8977,,14,,,20,,1979,8977,1959,100,1,1,42,42,43,42.33333,23,23,0,1,0,1,0,108976.6,0,0,124076,0,0,100686.1,0,0,3,0,111246.2,11.6195,0,11.6195,20,38820.48,86297.09,89813.59,0,0,0,0,0,0,3,0,0,0,71643.72,11.17946,127144.8,11.75308,71643.72,11.17946,0,32333.33,10.38385,0,0,45600.53,45.66667,1566,1879,1768,,1,1,100,1
,3047,,13,,,19,,1979,3047,1960,66.66667,1,1,48,41,49,42,23,30,0,0,1,1,1,,0,1,,0,1,,0,1,0,1,,,,,,32127.29,128801.6,103407,0,0,0,0,0,0,3,0,0,0,88111.98,11.38636,28717.81,10.26527,88111.98,11.38636,0,10400,9.249561,0,0,111735,48.5,4179,5060,5144,,0,1,0,1
