survey,id,women,wt_nls_parent,wt_nls_kid,wt_nls_avg
1966,548,0,265494.3,369661.7,317577.9
1966,548,1,419683.7,387643.4,403663.6
1979,548,1,3373.308,4376.698,3875.003
1966,551,0,274594.7,268097.5,271346.1
1966,551,1,376575,523591.1,450083.1
1979,553,0,2184.404,3302.705,2743.554
1979,554,0,3463.573,4930.842,4197.208
1979,558,1,3653.954,3261.702,3457.828
1966,559,1,145119.6,142493.4,143806.5
1979,562,0,778.7645,5589.712,3184.238
1966,564,0,55207.48,95667.4,75437.44
1979,567,1,5179.391,3295.139,4237.265
1966,570,1,151129.9,179352.2,165241.1
1979,570,0,9342.06,6640.67,7991.365
1966,571,1,176556.9,153218.3,164887.6
1966,572,0,412723.8,449332.6,431028.2
1966,572,1,841762.1,664522.4,753142.3
1979,573,0,3140.831,7222.974,5181.902
1966,576,1,565289.9,826096.8,695693.4
1966,577,0,154594.2,160490.7,157542.4
1966,577,1,171648,78172.75,124910.4
1966,578,0,150803,117133.4,133968.2
1966,579,1,473452.8,253950,363701.4
1979,579,1,1217.233,3853.72,2535.477
1966,583,0,440219.2,333704.5,386961.8
1979,585,1,3004.911,5041.492,4023.202
1979,588,1,2345.439,1301.858,1823.649
1966,589,1,491836.7,252495.5,372166.1
1979,589,1,2345.439,1303.449,1824.444
1979,594,0,3362.511,1987.794,2675.152
1979,596,0,1036.677,1370.077,1203.377
1979,600,0,4267.116,4994.843,4630.979
1979,604,1,1539.964,5045.912,3292.938
1979,605,0,1037.346,4877.808,2957.577
1979,606,0,1097.747,4615.585,2856.666
1966,609,1,464072.1,500387,482229.6
1979,609,1,1913.497,6738.825,4326.161
1979,610,0,1696.817,5525.613,3611.215
1979,613,0,1977.566,5003.499,3490.532
1979,616,0,3559.728,4711.262,4135.495
1966,618,0,498567.2,580229.9,539398.6
1966,621,0,84899.83,92982.66,88941.25
1979,622,1,2868.441,1515.065,2191.753
1966,626,0,76156.66,120944.2,98550.45
1966,626,1,419786.1,511444.4,465615.3
1966,627,0,76156.66,155331,115743.8
1966,628,0,225483.9,298463.4,261973.7
1979,629,0,2373.704,5192.833,3783.269
1979,630,0,3463.485,5826.626,4645.055
1966,631,0,316156.3,345960.7,331058.5
1979,636,1,29637.37,4252.427,16944.9
1979,637,0,2778.548,3446.304,3112.426
1979,638,0,1853.66,5108.977,3481.318
1979,639,0,1683.418,5786.271,3734.845
1979,640,1,4194.281,2394.532,3294.406
1979,641,0,2724.789,6048.589,4386.689
1979,642,1,1943.079,3206.641,2574.86
1966,644,1,545141.1,595000.3,570070.8
1979,645,0,38408.83,1828.963,20118.9
1979,646,1,3865.162,4079.059,3972.11
1979,648,1,3016.918,6057.434,4537.176
1979,650,1,4250.62,3834.097,4042.358
1966,653,1,558182.9,399144.8,478663.9
1979,654,1,3348.206,6333.514,4840.86
1966,656,0,398159.7,382579.2,390369.5
1979,657,1,5598.206,1929.206,3763.706
1966,659,1,410081.3,391987.7,401034.4
1966,660,0,294255.2,500889.2,397572.2
1966,660,1,610345.9,518056.1,564201
1979,662,1,2492.293,4717.32,3604.807
1979,663,0,3068.102,5363.544,4215.823
1979,665,1,760.9296,3982.814,2371.872
1979,667,0,1674.616,4465.766,3070.191
1979,668,1,2193.36,6273.141,4233.25
1979,669,0,4279.571,6096.215,5187.894
1979,670,1,3405.761,3641.67,3523.715
1979,671,0,701.1064,968.6462,834.8763
1979,672,0,1316.766,1550.081,1433.424
1979,674,0,447.8825,1819.774,1133.828
1966,675,0,67701.08,82159.41,74930.24
1979,675,0,456.8336,1952.066,1204.45
1979,676,0,603.3651,2395.749,1499.557
1979,678,0,611.3717,1241.688,926.5296
1966,681,0,414920.8,344369.9,379645.3
1966,682,0,403352.8,418828.9,411090.8
1966,684,1,341717.9,357478.3,349598.1
1966,685,0,361773.4,461361.7,411567.6
1979,685,0,1304.684,3583.668,2444.176
1979,686,0,1487.24,5493.041,3490.14
1966,687,1,904431.7,546546.1,725488.9
1966,688,1,361481.7,593644.8,477563.2
1979,688,1,3484.237,5736.391,4610.314
1966,689,1,438816.2,479030.3,458923.2
1979,690,0,3176.748,5276.607,4226.678
1979,692,1,1583.29,6120.837,3852.064
1966,694,0,437120,501664.4,469392.2
1979,695,0,7987.545,5571.938,6779.742
1966,698,1,507046,311925.6,409485.8
1979,702,0,3469.671,5045.495,4257.583
1966,703,0,282217.8,255205.5,268711.7
1979,703,1,13095.22,6886.222,9990.722
1979,707,0,2456.21,4818.788,3637.499
1979,711,0,9013.974,6075.142,7544.558
1979,713,1,4828.19,7236.461,6032.325
1966,714,0,305814.8,305838.9,305826.9
1966,714,1,500593.2,116941.4,308767.3
1979,714,0,4826.484,6058.681,5442.583
1966,716,1,557716.3,358272,457994.1
1979,716,0,6204.21,3153.955,4679.083
1979,717,0,1187.68,5296.489,3242.084
1966,718,1,159584.6,199306.3,179445.4
1966,719,1,170474.5,254125.9,212300.2
1966,720,1,156479.2,132078.3,144278.7
1979,721,1,1322.813,6887.33,4105.072
1979,723,1,1230.345,6712.46,3971.403
1966,724,1,300147.4,339792.1,319969.8
1979,724,1,1179.928,4548.368,2864.148
1979,725,0,17046.74,4332.309,10689.52
1979,726,1,2115.734,4276.654,3196.194
1966,727,0,418945.8,407648.6,413297.2
1966,727,1,978629.5,426389.9,702509.8
1979,727,0,2318.547,4892.092,3605.319
1979,728,0,4287.961,5149.786,4718.874
1966,732,0,302076.7,333796.7,317936.7
1979,733,1,729.2421,4182.341,2455.792
1966,734,1,386630.4,259446,323038.2
1966,735,0,72036.92,75772.31,73904.62
1979,735,0,3272.754,7935.639,5604.196
1979,736,1,3442.669,2894.933,3168.801
1966,739,1,424287.6,503736.4,464012
1966,745,1,365997.3,518620.6,442308.9
1979,746,1,8681.056,5479.09,7080.073
1966,747,0,355774.3,436128.7,395951.5
1979,747,0,8987.405,6334.365,7660.885
1966,748,1,231254.6,353326.9,292290.8
1966,749,1,272907.5,386890,329898.8
1966,750,0,117061.5,175199.9,146130.7
1966,750,1,522808.4,410218.8,466513.6
1979,750,0,1005.419,4358.059,2681.739
1979,751,0,829.7897,4550.382,2690.086
1966,753,1,491551.4,183587.8,337569.6
1966,754,0,425153.4,261635.1,343394.3
1966,754,1,604599.3,732579.6,668589.5
1979,754,0,3600.089,2727.71,3163.9
1979,755,1,668.517,970.0427,819.2799
1966,756,0,345853.5,396218,371035.8
1979,756,1,936.3742,1745.504,1340.939
1979,757,1,2898.458,1563.939,2231.198
1979,760,0,1372.332,2103.484,1737.908
1966,763,1,33799.74,127838.1,80818.95
